time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:21:27.968Z,0.232,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:27.979Z,0.243,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.000Z,0.264,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.000Z,0.264,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.011Z,0.275,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.032Z,0.296,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.032Z,0.296,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.042Z,0.306,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.063Z,0.327,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.063Z,0.327,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.074Z,0.338,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.079Z,0.343,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.095Z,0.359,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.105Z,0.369,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.126Z,0.39,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.126Z,0.39,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.137Z,0.401,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.157Z,0.421,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.157Z,0.421,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.169Z,0.433,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.174Z,0.438,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.190Z,0.454,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.200Z,0.464,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.205Z,0.469,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.219Z,0.483,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.228Z,0.492,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.248Z,0.512,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.248Z,0.512,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.258Z,0.522,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.279Z,0.543,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.279Z,0.543,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.289Z,0.553,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.310Z,0.574,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.310Z,0.574,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.320Z,0.584,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.341Z,0.605,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.341Z,0.605,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.352Z,0.616,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.372Z,0.636,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.372Z,0.636,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.383Z,0.647,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.404Z,0.668,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.404Z,0.668,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.415Z,0.679,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.436Z,0.7,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.436Z,0.7,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.447Z,0.711,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.468Z,0.732,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.468Z,0.732,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.479Z,0.743,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.500Z,0.764,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.500Z,0.764,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.510Z,0.774,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.531Z,0.795,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.531Z,0.795,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.542Z,0.806,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.562Z,0.826,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.562Z,0.826,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.573Z,0.837,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.593Z,0.857,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.593Z,0.857,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.604Z,0.868,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.625Z,0.889,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.625Z,0.889,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.636Z,0.9,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.656Z,0.92,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.656Z,0.92,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.667Z,0.931,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.688Z,0.952,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.688Z,0.952,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.698Z,0.962,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.719Z,0.983,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.719Z,0.983,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.730Z,0.994,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.750Z,1.014,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.750Z,1.014,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.761Z,1.025,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.782Z,1.046,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.782Z,1.046,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.792Z,1.056,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.813Z,1.077,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.813Z,1.077,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.824Z,1.088,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.844Z,1.108,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.844Z,1.108,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.855Z,1.119,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.876Z,1.14,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.876Z,1.14,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.887Z,1.151,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.908Z,1.172,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.908Z,1.172,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.919Z,1.183,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.924Z,1.188,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:21:28.940Z,1.204,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:21:28.949Z,1.213,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:21:28.954Z,1.218,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:21:28.969Z,1.233,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:21:28.978Z,1.242,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:21:28.996Z,1.26,0,0,0,1,0,0,0.0,0.0
