time,time_s,INV_Power_On_Timer,INV_Torque_Feedback,INV_Commanded_Torque,INV_Run_Fault_Hi,INV_Post_Fault_Hi,INV_Run_Fault_Lo,INV_Post_Fault_Lo,INV_Direction_Command,INV_Inverter_Enable_State,INV_Relay_3_Status,INV_Relay_4_Status,INV_Relay_2_Status,INV_Inverter_Run_Mode,INV_Inverter_Command_Mode,INV_Relay_1_Status,INV_Inverter_State,INV_VSM_State,INV_Inverter_Enable_Lockout,INV_Inverter_Discharge_State,INV_Relay_5_Status,INV_Relay_6_Status,INV_BMS_Active,INV_BMS_Torque_Limiting,INV_Max_Speed_Limiting,INV_Low_Speed_Limiting,INV_Rolling_Counter,INV_PWM_Frequency,INV_Start_Mode_Active,INV_Reference_Voltage_12_0,INV_Reference_Voltage_5_0,INV_Reference_Voltage_2_5,INV_Reference_Voltage_1_5,INV_VBC_Vq_Voltage,INV_VAB_Vd_Voltage,INV_Output_Voltage,INV_DC_Bus_Voltage,INV_DC_Bus_Current,INV_Phase_C_Current,INV_Phase_B_Current,INV_Phase_A_Current,INV_Delta_Resolver_Filtered,INV_Electrical_Output_Frequency,INV_Motor_Speed,INV_Motor_Angle_Electrical,INV_Torque_Shudder,INV_Motor_Temperature,INV_RTD5_Temperature,INV_RTD4_Temperature,INV_RTD3_Temperature,INV_RTD2_Temperature,INV_RTD1_Temperature,INV_Control_Board_Temperature,INV_Gate_Driver_Board,INV_Module_C,INV_Module_B,INV_Module_A,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,INV_Diag_Record,INV_Diag_Segment,INV_Diag_Gamma_Resolver,INV_Diag_Gamma_Observer,INV_Diag_Sin,INV_Diag_Cos,INV_Diag_Ia,INV_Diag_Ib,INV_Diag_Ic,INV_Diag_Vdc,INV_Diag_Iq_cmd,INV_Diag_Id_cmd,INV_Diag_Mod_Index,INV_Diag_FW_Output,INV_Diag_Vq_Cmd,INV_Diag_Vd_Cmd,INV_Diag_Vqs_Cmd,INV_Diag_12V,INV_Diag_Run_Faults_Lo,INV_Diag_Run_Faults_Hi
2026-08-21T01:26:24.604Z,0.0,0.012,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-7.5,-10.2,-8.5,-8.5,0.0,11.0,128.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.616Z,0.012,0.024,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-6.9,-9.4,-8.9,-16.5,0.0,11.0,119.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.628Z,0.024,0.036,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,,,,,0.0,0.1,0.0,0.4,0.0,-6.9,-10.4,-9.3,-23.8,0.0,10.0,117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.640Z,0.036,0.048,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-7.5,-10.8,-9.2,-30.6,0.0,9.0,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.652Z,0.048,0.06,-3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-7.0,-8.5,-8.0,-36.9,0.0,8.0,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.664Z,0.06,0.072,-4.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-4.800000000000001,-8.4,-6.9,-42.8,0.0,8.0,117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.676Z,0.072,0.084,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,,,,,0.0,0.1,0.0,0.4,0.0,-5.0,-6.7,-6.9,-48.2,0.0,7.0,117.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.688Z,0.084,0.096,-4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,0.0,0.4,0.0,-5.2,-6.7,-5.9,-53.2,0.0,7.0,117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.700Z,0.096,0.108,-4.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.1,0.0,0.4,0.0,-4.800000000000001,-6.800000000000001,-6.0,-57.900000000000006,0.0,6.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.712Z,0.108,0.12,-4.1000000000000005,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-3.3000000000000003,-5.2,-4.4,-62.3,0.0,6.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.724Z,0.12,0.132,-3.9,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-3.5,-5.4,-4.5,-66.3,0.0,5.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.736Z,0.132,0.144,-3.8,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-3.2,-6.2,-5.300000000000001,-70.0,0.0,5.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.748Z,0.144,0.156,-3.6,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.9000000000000004,-4.6000000000000005,-3.7,-73.5,0.0,5.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.761Z,0.157,0.168,-3.4000000000000004,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.7,-4.3,-2.2,-76.7,0.0,4.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.773Z,0.169,0.18,-3.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.5,-2.2,-3.1,-79.60000000000001,0.0,4.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:26:24.784Z,0.18,0.192,-3.0,2.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,11.51,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-1.7000000000000002,-1.9,-1.7000000000000002,-82.4,0.0,4.0,117.5,0.0,18.4,0.0,0.0,0.9,295.8,295.8,19.5,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
