time,time_s,INV_Power_On_Timer,INV_Torque_Feedback,INV_Commanded_Torque,INV_Run_Fault_Hi,INV_Post_Fault_Hi,INV_Run_Fault_Lo,INV_Post_Fault_Lo,INV_Direction_Command,INV_Inverter_Enable_State,INV_Relay_3_Status,INV_Relay_4_Status,INV_Relay_2_Status,INV_Inverter_Run_Mode,INV_Inverter_Command_Mode,INV_Relay_1_Status,INV_Inverter_State,INV_VSM_State,INV_Inverter_Enable_Lockout,INV_Inverter_Discharge_State,INV_Relay_5_Status,INV_Relay_6_Status,INV_BMS_Active,INV_BMS_Torque_Limiting,INV_Max_Speed_Limiting,INV_Low_Speed_Limiting,INV_Rolling_Counter,INV_PWM_Frequency,INV_Start_Mode_Active,INV_Reference_Voltage_12_0,INV_Reference_Voltage_5_0,INV_Reference_Voltage_2_5,INV_Reference_Voltage_1_5,INV_VBC_Vq_Voltage,INV_VAB_Vd_Voltage,INV_Output_Voltage,INV_DC_Bus_Voltage,INV_DC_Bus_Current,INV_Phase_C_Current,INV_Phase_B_Current,INV_Phase_A_Current,INV_Delta_Resolver_Filtered,INV_Electrical_Output_Frequency,INV_Motor_Speed,INV_Motor_Angle_Electrical,INV_Torque_Shudder,INV_Motor_Temperature,INV_RTD5_Temperature,INV_RTD4_Temperature,INV_RTD3_Temperature,INV_RTD2_Temperature,INV_RTD1_Temperature,INV_Control_Board_Temperature,INV_Gate_Driver_Board,INV_Module_C,INV_Module_B,INV_Module_A,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,INV_Diag_Record,INV_Diag_Segment,INV_Diag_Gamma_Resolver,INV_Diag_Gamma_Observer,INV_Diag_Sin,INV_Diag_Cos,INV_Diag_Ia,INV_Diag_Ib,INV_Diag_Ic,INV_Diag_Vdc,INV_Diag_Iq_cmd,INV_Diag_Id_cmd,INV_Diag_Mod_Index,INV_Diag_FW_Output,INV_Diag_Vq_Cmd,INV_Diag_Vd_Cmd,INV_Diag_Vqs_Cmd,INV_Diag_12V,INV_Diag_Run_Faults_Lo,INV_Diag_Run_Faults_Hi
2026-08-21T01:52:25.102Z,0.12,0.132,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.9000000000000004,-6.5,-5.6000000000000005,21.200000000000003,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.114Z,0.132,0.144,1.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-4.4,-6.7,-4.7,22.4,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.126Z,0.144,0.156,0.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.5,0.0,-3.5,-2.8000000000000003,-3.2,23.5,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.138Z,0.156,0.168,0.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.6,-4.800000000000001,-4.0,24.5,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.150Z,0.168,0.18,0.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.4000000000000004,-3.3000000000000003,-2.6,25.4,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.162Z,0.18,0.192,0.8,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,11.05,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-3.4000000000000004,-4.800000000000001,-3.5,26.3,0.0,-1.0,322.5,0.0,18.2,0.0,0.0,0.9,295.8,295.8,19.6,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.174Z,0.192,0.204,0.7000000000000001,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,11.01,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.7,-3.9,-2.6,27.1,0.0,-1.0,322.5,0.0,18.3,1.5,1.5,2.1,299.90000000000003,299.90000000000003,19.200000000000003,2.5,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.185Z,0.203,0.216,0.7000000000000001,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,11.01,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-3.7,-3.7,-2.4000000000000004,27.9,0.0,0.0,322.5,0.0,18.3,1.5,1.5,2.1,299.90000000000003,299.90000000000003,19.200000000000003,2.5,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.198Z,0.216,0.228,0.7000000000000001,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,11.01,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.9000000000000004,-2.9000000000000004,-2.8000000000000003,28.6,0.0,0.0,322.5,0.0,18.3,1.5,1.5,2.1,299.90000000000003,299.90000000000003,19.200000000000003,2.5,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-21T01:52:25.210Z,0.228,0.24,0.6000000000000001,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,11.01,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,0.4,0.0,-2.8000000000000003,-3.9,-3.2,29.200000000000003,0.0,0.0,322.5,0.0,18.3,1.5,1.5,2.1,299.90000000000003,299.90000000000003,19.200000000000003,2.5,2.7,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
