time,time_s,INV_Power_On_Timer,INV_Torque_Feedback,INV_Commanded_Torque,INV_Run_Fault_Hi,INV_Post_Fault_Hi,INV_Run_Fault_Lo,INV_Post_Fault_Lo,INV_Direction_Command,INV_Inverter_Enable_State,INV_Relay_3_Status,INV_Relay_4_Status,INV_Relay_2_Status,INV_Inverter_Run_Mode,INV_Inverter_Command_Mode,INV_Relay_1_Status,INV_Inverter_State,INV_VSM_State,INV_Inverter_Enable_Lockout,INV_Inverter_Discharge_State,INV_Relay_5_Status,INV_Relay_6_Status,INV_BMS_Active,INV_BMS_Torque_Limiting,INV_Max_Speed_Limiting,INV_Low_Speed_Limiting,INV_Rolling_Counter,INV_PWM_Frequency,INV_Start_Mode_Active,INV_Reference_Voltage_12_0,INV_Reference_Voltage_5_0,INV_Reference_Voltage_2_5,INV_Reference_Voltage_1_5,INV_VBC_Vq_Voltage,INV_VAB_Vd_Voltage,INV_Output_Voltage,INV_DC_Bus_Voltage,INV_DC_Bus_Current,INV_Phase_C_Current,INV_Phase_B_Current,INV_Phase_A_Current,INV_Delta_Resolver_Filtered,INV_Electrical_Output_Frequency,INV_Motor_Speed,INV_Motor_Angle_Electrical,INV_Torque_Shudder,INV_Motor_Temperature,INV_RTD5_Temperature,INV_RTD4_Temperature,INV_RTD3_Temperature,INV_RTD2_Temperature,INV_RTD1_Temperature,INV_Control_Board_Temperature,INV_Gate_Driver_Board,INV_Module_C,INV_Module_B,INV_Module_A,INV_Fast_Torque_Command,INV_Fast_Torque_Feedback,INV_Fast_Motor_Speed,INV_Fast_DC_Bus_Voltage,INV_Diag_Record,INV_Diag_Segment,INV_Diag_Gamma_Resolver,INV_Diag_Gamma_Observer,INV_Diag_Sin,INV_Diag_Cos,INV_Diag_Ia,INV_Diag_Ib,INV_Diag_Ic,INV_Diag_Vdc,INV_Diag_Iq_cmd,INV_Diag_Id_cmd,INV_Diag_Mod_Index,INV_Diag_FW_Output,INV_Diag_Vq_Cmd,INV_Diag_Vd_Cmd,INV_Diag_Vqs_Cmd,INV_Diag_12V,INV_Diag_Run_Faults_Lo,INV_Diag_Run_Faults_Hi
2026-08-07T15:41:13.051Z,0.0,0.012,-2.4000000000000004,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,1.5,301.6,0.0,-8.1,-9.6,-9.0,-3.4000000000000004,0.0,4.0,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.063Z,0.012,0.024,-4.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,,,,,0.0,0.0,0.2,301.5,0.0,-8.1,-9.4,-9.4,-6.5,0.0,4.0,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.075Z,0.024,0.036,-5.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,,,,,0.0,0.0,0.0,301.6,0.0,-8.1,-10.4,-11.1,-9.4,0.0,4.0,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.088Z,0.037,0.048,-6.6000000000000005,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,,,,,0.0,0.0,0.0,301.5,0.0,-6.5,-9.2,-8.1,-12.1,0.0,3.0,46.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.099Z,0.048,0.06,-7.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,,,,,0.0,0.0,0.0,301.6,0.0,-6.0,-8.5,-8.700000000000001,-14.6,0.0,3.0,46.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.113Z,0.062,0.072,-7.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,,,,,0.0,0.0,0.0,301.6,0.0,-6.7,-8.5,-8.700000000000001,-16.900000000000002,0.0,3.0,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.123Z,0.072,0.084,-7.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,,,,,0.0,0.0,0.0,301.6,0.0,-5.7,-7.300000000000001,-7.0,-19.1,0.0,3.0,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.135Z,0.084,0.096,-7.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,,,,,0.0,0.0,0.0,301.6,0.0,-4.7,-7.4,-7.0,-21.1,0.0,3.0,46.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.147Z,0.096,0.108,-7.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,11.82,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,301.6,0.0,-4.4,-6.300000000000001,-6.0,-22.9,0.0,2.0,46.7,0.0,22.4,0.0,0.0,2.1,295.8,295.8,23.4,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.159Z,0.108,0.12,-7.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,11.82,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,301.6,0.0,-3.5,-4.7,-5.0,-24.700000000000003,0.0,2.0,46.8,0.0,22.4,0.0,0.0,2.1,295.8,295.8,23.4,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.171Z,0.12,0.132,-7.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,11.82,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,301.6,0.0,-4.3,-6.0,-6.300000000000001,-26.3,0.0,2.0,46.8,0.0,22.4,0.0,0.0,2.1,295.8,295.8,23.4,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.183Z,0.132,0.144,-6.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,11.82,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,301.6,0.0,-4.0,-5.6000000000000005,-5.300000000000001,-27.700000000000003,0.0,2.0,46.900000000000006,0.0,22.4,0.0,0.0,2.1,295.8,295.8,23.4,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.195Z,0.144,0.156,-6.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1.0,11.82,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,301.5,0.0,-2.6,-3.5,-4.4,-29.1,0.0,2.0,46.8,0.0,22.4,0.0,0.0,2.1,295.8,295.8,23.4,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07T15:41:13.207Z,0.156,0.168,-6.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,1.0,11.82,5.0200000000000005,2.51,1.49,0.0,0.0,0.0,301.6,0.0,-2.9000000000000004,-3.8,-4.7,-30.4,0.0,2.0,46.8,0.0,22.4,0.0,0.0,2.1,295.8,295.8,23.4,1.2000000000000002,1.3,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
