time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T22:03:48.455Z,0.778,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.455Z,0.778,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.466Z,0.789,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.487Z,0.81,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.487Z,0.81,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.498Z,0.821,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.518Z,0.841,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.519Z,0.842,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.529Z,0.852,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.535Z,0.858,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.551Z,0.874,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.560Z,0.883,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.580Z,0.903,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.580Z,0.903,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.591Z,0.914,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.612Z,0.935,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.612Z,0.935,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.623Z,0.946,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.644Z,0.967,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.644Z,0.967,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.655Z,0.978,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.675Z,0.998,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.675Z,0.998,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.687Z,1.01,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.692Z,1.015,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.708Z,1.031,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.717Z,1.04,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.721Z,1.044,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.735Z,1.058,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.744Z,1.067,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.762Z,1.085,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.775Z,1.098,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.782Z,1.105,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.785Z,1.108,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.796Z,1.119,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.802Z,1.125,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.817Z,1.14,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.827Z,1.15,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.832Z,1.155,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.847Z,1.17,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.856Z,1.179,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.874Z,1.197,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.874Z,1.197,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.885Z,1.208,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.906Z,1.229,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.906Z,1.229,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.917Z,1.24,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:48.938Z,1.261,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:48.938Z,1.261,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:48.948Z,1.271,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:48.969Z,1.292,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:48.969Z,1.292,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:48.980Z,1.303,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.001Z,1.324,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.001Z,1.324,0,0,0,2,0,0,0.0,0.0
2026-08-22T22:03:49.012Z,1.335,0,0,0,3,0,0,0.0,0.0
2026-08-22T22:03:49.033Z,1.356,0,0,0,4,0,0,0.0,0.0
2026-08-22T22:03:49.033Z,1.356,0,0,0,5,0,0,0.0,0.0
2026-08-22T22:03:49.044Z,1.367,0,0,0,0,0,0,0.0,0.0
2026-08-22T22:03:49.065Z,1.388,0,0,0,1,0,0,0.0,0.0
2026-08-22T22:03:49.065Z,1.388,0,0,0,2,0,0,0.0,0.0
