time,time_s,VCU_INV_Direction_Command,VCU_INV_Inverter_Discharge,VCU_INV_Inverter_Enable,VCU_INV_RollingCounter,VCU_INV_Speed_Command,VCU_INV_Speed_Mode_Enable,VCU_INV_Torque_Command,VCU_INV_Torque_Limit_Command
2026-08-22T23:35:14.081Z,0.0,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.092Z,0.011,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.098Z,0.017,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.112Z,0.031,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.122Z,0.041,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.141Z,0.06,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.141Z,0.06,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.152Z,0.071,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.173Z,0.092,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.173Z,0.092,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.184Z,0.103,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.205Z,0.124,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.205Z,0.124,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.216Z,0.135,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.237Z,0.156,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.237Z,0.156,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.247Z,0.166,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.268Z,0.187,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.268Z,0.187,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.280Z,0.199,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.285Z,0.204,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.301Z,0.22,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.311Z,0.23,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.330Z,0.249,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.330Z,0.249,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.341Z,0.26,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.362Z,0.281,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.362Z,0.281,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.373Z,0.292,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.379Z,0.298,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.394Z,0.313,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.403Z,0.322,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.421Z,0.34,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.422Z,0.341,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.433Z,0.352,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.453Z,0.372,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.454Z,0.373,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.465Z,0.384,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.485Z,0.404,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.485Z,0.404,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.495Z,0.414,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.517Z,0.436,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.517Z,0.436,0,0,0,0,0,0,0.0,0.0
2026-08-22T23:35:14.528Z,0.447,0,0,0,1,0,0,0.0,0.0
2026-08-22T23:35:14.548Z,0.467,0,0,0,2,0,0,0.0,0.0
2026-08-22T23:35:14.549Z,0.468,0,0,0,3,0,0,0.0,0.0
2026-08-22T23:35:14.559Z,0.478,0,0,0,4,0,0,0.0,0.0
2026-08-22T23:35:14.580Z,0.499,0,0,0,5,0,0,0.0,0.0
2026-08-22T23:35:14.580Z,0.499,0,0,0,0,0,0,0.0,0.0
